BioProject,Run,LibraryStrategy,Annotation
PRJNA1145378,SRR30163340,OTHER,Ribo-Seq
PRJNA1145378,SRR30163339,OTHER,Ribo-Seq
PRJNA1145378,SRR30163338,OTHER,Ribo-Seq
PRJNA1145378,SRR30163337,OTHER,Ribo-Seq
PRJNA1145378,SRR30163336,OTHER,Ribo-Seq
PRJNA1145378,SRR30163335,OTHER,Ribo-Seq
PRJNA1145378,SRR30163334,RNA-Seq,RNA-Seq
PRJNA1145378,SRR30163333,RNA-Seq,RNA-Seq
PRJNA1145378,SRR30163332,RNA-Seq,RNA-Seq
PRJNA1145378,SRR30163331,RNA-Seq,RNA-Seq
PRJNA1145378,SRR30163330,RNA-Seq,RNA-Seq
PRJNA1145378,SRR30163329,RNA-Seq,RNA-Seq